name,id,wikipedia_,gender,scale,length
Jerónimo Salguero,"507883628",,Male,"-0.99",54.0838825728303
José Álvarez Condarco,"509676605",,Male,"-0.3",1504.30015115134
Avenida San Martín,"515118429",,Male,"-0.5",81.1021216989776
Crisóstomo Álvarez,"530917817",,Male,"-1.0",16.7025306000455
General Levalle,"531019758",,Male,"-0.5",88.1036936676393
Lautaro,"531521436",,Male,"-0.5",121.259693329861
Avelino Díaz,"531521437",,Male,"-0.5",262.771810378588
Avenida Eva Perón,"531587909",https://es.wikipedia.org/wiki/Eva_Per%C3%B3n,Female,"1.0",3.32952501918625
Felipe Vallese,"533669267",,Male,"-0.99",19.1387803060374
Serrano,"533680273",,Male,"-0.5",121.779447988273
Martínez Rosas,"534852698",,Male,"-0.49",69.6897801197622
Almirante Francisco José Seguí,"534852701",,Male,"-0.5",50.7395695241535
General Ferré,"537501085",,Male,"-0.5",21.7408790306758
Comandante Spurr,"537517282",,Male,"-0.5",31.8709572558663
Gervasio A. de Posadas,"537819085",,Male,"-1.0",58.0371016105932
Blanco Encalada,"537819089",,Male,"-0.45",536.916006400531
Héroes de Malvinas,"537819100",,Male,"-0.46",401.49846876044
Manuel Corvalán,"537827261",,Male,"-0.5",318.060199766471
Coronel Rondeau,"537842766",,Male,"-1.0",1266.29411154532
Magdalena,"537843495",,Female,"1.0",283.051114870409
Avenida General Roca,"544904584",,Male,"-0.5",98.753835045853
General Iriarte,"544906590",,Male,"-0.5",96.3848838689667
José Manuel Estrada,"544906606",,Male,"-0.45",23.8432306682594
Avenida General Roca,"545043015",,Male,"-0.5",1241.1747651215
Avenida General Roca,"545043018",,Male,"-0.5",0.083085589241294
Avenida General Roca,"545043019",,Male,"-0.5",503.996118390149
General San Martín,"545355249",,Male,"-0.44",919.984189591615
Coronel Lacarra,"545357225",,Male,"-0.5",42.532286206934
Dirk Kloosterman,"547728248",,Male,"-0.5",279.594491840832
Avenida Teodoro Sánchez de Bustamante,"547983427",,Male,"-0.5",379.663176288645
Avenida Bartolomé Mitre,"548025388",,Male,"-0.5",133.437023947907
Avenida Teniente General Donato Álvarez,"9937027",,Male,"-0.5",133.770332320209
Juan Francisco Seguí,"9937434",,Male,"-0.99",81.4217479078516
Alberto Einstein,"9937981",,Male,"-1.0",223.455977718233
José Antonio Cabrera,"9940907",,Male,"-0.46",117.628610327504
Stephenson,"9970493",,Male,"-0.5",199.482121316794
Avenida del Campo,"9971280",,Male,"-0.5",88.6281671138147
Donado,"9971374",,Male,"-1.0",242.089019288894
Teodoro García,"9971514",,Male,"-0.5",663.293035532023
Ingeniero Agustín González,"9972078",,Male,"-0.5",175.94560303526
Almirante Francisco José Seguí,"9972222",,Male,"-0.5",66.8223880218567
Nicasio Oroño,"9972226",,Male,"-1.0",111.931224205624
Fragata Presidente Sarmiento,"9972248",,Male,"-0.5",304.372992438468
Virrey Loreto,"9972616",,Male,"-1.0",127.019815239236
Mariano Demaría,"9972757",,Male,"-0.5",143.653447651809
Pedro de Jerez,"9972772",,Male,"-0.5",143.984039583597
Concepción Arenal,"9973233",https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal,Female,"0.97",350.421585734536
Santos Dumont,"9973264",,Male,"-0.33",175.11845068922
Avenida General Benjamín Victorica,"9975307",,Male,"-0.5",179.942261362809
Otero,"10046638",,Male,"-0.5",217.694827598165
Guzmán,"10046653",,Male,"-1.0",482.537325826481
Rodney,"10046662",,Male,"-0.5",479.037337250565
General Manuel A. Rodríguez,"10046665",,Male,"-0.5",687.524536391154
Céspedes,"10049097",,Male,"-0.5",548.485359154583
Vallejos,"10050602",,Male,"-0.48",173.34410966796
Guevara,"10050896",,Male,"-0.5",122.53827856311
Navarro,"10054636",,Male,"-0.49",440.953348192644
Avenida General Mosconi,"10054711",,Male,"-0.5",24.9977779044095
Carlos Antonio López,"10054848",,Male,"-0.99",586.532206326407
Avenida San Martín,"10055451",,Male,"-0.5",21.6776230195113
Navarro,"10057789",,Male,"-0.49",681.296474270842
Delgado,"10057898",,Male,"-0.5",424.134563682786
Maure,"10057910",,Female,"0.64",155.364938061865
General Juan G. Lemos,"10057993",,Male,"-0.5",92.256855094288
Doctor Nicolás Repetto,"10059069",,Male,"-1.0",327.645275712884
Darwin,"10059097",,Male,"-0.5",182.35958046185
Concepción Arenal,"10059145",https://es.wikipedia.org/wiki/Concepci%C3%B3n_Arenal,Female,"0.97",201.091236144732
Santos Dumont,"10059175",,Male,"-0.33",266.683532315548
General Enrique Martínez,"10059410",,Male,"-0.5",131.838651191724
Virrey Del Pino,"10059510",,Male,"-0.35",268.709528630513
Mariscal Francisco Solano López,"10059692",,Male,"-0.5",338.593730303891
Pedro Morán,"10059699",,Male,"-0.5",195.08523185688
Félix O. Foullier,"10060626",,Male,"-1.0",196.831404419906
Gregoria Pérez,"10063080",,Female,"0.49",402.095034208606
Teniente Benjamín Matienzo,"10063102",,Male,"-0.5",122.498834062818
Ángel Pacheco,"10064363",,Male,"-1.0",179.087720947228
